什么样的路不能走?... 答案：电路
有一个人，他是你父母生的，但他却不是你的兄弟姐妹，他是谁？  答案：你自己
什么东西天气越热，它爬的越高？  答案：温度计
有一位老太太上了公车，为什么没人让座？  答案：车上有空位
小王一边刷牙，一边悠闲的吹着口哨，他是怎么做到的？ 答案：刷假牙
用椰子和西瓜打头哪一个比较痛？  答案：头比较痛
制造日期与有效日期是同一天的产品是什么？  答案：报纸
为什么有家医院从不给人看病？ 答案：兽医院
有一头头朝北的牛，它向右转原地转三圈，然后向后转原地转三圈，接着再往右转，这时候它的尾巴朝哪？ 答案：朝地
胖妞生病了，最怕别人来探病时说什么？  答案：多多保重
如果明天就是世界末日，为什么今天就有人想自杀？ 答案：去天堂占位置
一对健康的夫妇,为什么会生出没有眼睛的婴儿? 答案：鸡生蛋
狐狸精最擅长迷惑男人,那么什么“精”男女一起迷?  答案：酒精
小张走路从来脚不沾地，这是为什么？  答案：还隔着鞋和袜子
胖胖是个颇有名气的跳水运动员，可是有一天，他站在跳台上，却不敢往下跳。这是为什么？  答案：下面没有水
哪一颗牙最后长出来？ 答案：假牙
为什么两只老虎打架,非要拼个你死我活绝不罢休？  答案：没有人敢去劝架
小红与妈妈都在同一个班里上课，这是为什么？ 答案：一个是学生，一个是老师
为什么游泳比赛中青蛙输给了狗？  答案：青蛙用蛙泳犯规
为读完北京大学需要多少时间？ 答案：一钞钟足够
小明总是喜欢把家里的闹钟整坏，妈妈为什么总是让不会修理钟表的爸爸代为修理？ 答案：修理小明
黑人和白人生下的婴儿，牙齿是什么颜色？ 答案：婴儿没有牙
有一根棍子，要使它变短，但不许锯断，折断或削短，该怎么办？ 答案：拿一根长得跟它比
在罗马数字中，零该怎么写？ 答案：罗马数字没有零
你能否用3跟筷子搭起一个比3大比4小的数？ 答案：搭成圆周率∏
沙沙声称自己是辨别母鸡年龄的专家，其绝招是用牙齿，为什么？ 答案：把鸡亲口吃了来辨别母鸡的老嫩
数字0到1之间加一个什么号，才能使这个数比0大，而比1小呢？ 答案：加个.成为0.1
什么东西说父亲是不会相碰，叫爸爸时却会碰到两次？ 答案：上嘴唇和下嘴唇
一张方桌据掉一个角，还有几个角？  答案：5个角
金太太一向心直口快，可什么事竟让她突然变得吞吞吐吐了呢？ 答案：金太太在吃甘蔗的时候吞吞吐吐
请仔细想一想，你所见到的最大影子是什么？  答案：地球的影子，即每天的晚上
把24个人按5人排列，排城6行，该怎样排？ 答案：排成正六边形即可

公共汽车上，两个人正在热烈的交谈，可围观的人却一句话也听不到，这是因为什么？ 答案：这是一对聋哑人
一个人在什么情况下，才处于真正的任人宰割的地步？ 答案：在手术台上时
什么东西愈生气，它便愈大?  答案：脾气
问医生病人的情况,医生只举起5个手指家人就哭了,是什么原因呢?  答案：三长二短
人们甘心情愿买假的东西是什么？  答案：假发，假牙
什么东西越洗越脏？ 答案：水
最不听话的是谁？  答案：聋子
一个人掉到河里，还挣扎了几下，它从河里爬上来，衣服全湿了，头发却没湿，为什么？  答案：因为他是光头
小明新买的袜子就有一个洞，他却不去找售货员换，你知道为什么吗？  答案：袜口
什么事你明明没有做，但却要受罚？  答案：家庭作业
大家都不想得到的是什么？ 答案：得病
什么英文字母最多人喜欢听呢?  答案：CD
什么东西晚上才生出尾巴呢?  答案：流星
家人问医生病人的情况,医生只举起5个手指，家人就哭了,是什么原因呢?  答案：三长两短
什么东西有五个头，但人不觉的它怪呢?  答案：手，脚
什么水永远用不完?  答案：泪水
大象的左耳朵像什么？  答案：右耳朵
书店里买不到什么书? 答案：遗书
什么帽不能戴? 答案：螺帽
一个学生住在学校里，为什么上学还经常迟到？ 答案：家所在的学校不是他上学的学校
为什么警察对闯红灯的汽车司机视而不见？ 答案：汽车司机没开车
两对父子去买帽子，为什么只买了三顶？ 答案：三代人
在一次监察严密的考试中，有两个学生交了一模一样的考卷。主考官发现后，却并没有认为他们作弊，这是什么原因？ 答案：二张都是白卷
张大妈整天说个不停，可有一个月她说话最少，那是哪个月？ 答案：二月份
有一种地方专门教坏人，但没有一个警察敢对它采取行动加以扫荡。这是什么地方  答案：看守所
当今社会，个体户大都靠什么吃饭？  答案：嘴
冰变成水最快的方法是什么？  答案：去掉两点水
小刘是个很普通的人，为什么竟然能一连十几个小时不眨眼？ 答案：睡觉
小王是一名优秀士兵，一天他在站岗值勤时，明明看到有敌人悄悄向他摸过来，为什么他却睁一只眼闭一只眼？  答案：他自在瞄准
猪的全身都是宝，用处很大，猪对人类还有什么用处？答案：还可以用来骂人
六岁的小明总是喜欢把家里的闹钟整坏，妈妈为什么总是让不会修理钟表的爸爸代为修理?  答案：妈妈让爸爸修理小明
早晨醒来，每个人都会去做的第一件事是什么？ 答案：睁眼
报纸上登的消息不一定百分之百是真的，但什么消息绝对假不了？  答案：报纸上的年月日
阿研的口袋里共有10个硬币，漏掉了10个硬币，口袋里还有什么？ 答案：一个破洞
为什么女人穿高跟鞋后，就代表她想要结婚了 答案：因为穿上高跟鞋，别人追就跑得慢啊。
草地上画了一个直径十米的圆圈，内有牛一头，圆圈中心插了一根木桩。牛被一根五米长的绳子栓着，如果不割断绳子，也不解开绳子，那么此牛能否吃到圈外的草？  答案：没有说牛是被栓在木桩上的
有两个人，一个面朝南，一个面朝北的站立着，不准回头，不准走动，不准照镜子，问他们能否看到对方的脸？ 答案：面对面站着
有一块天然的黑色的大理石，在九月七号这一天，把它扔到钱塘江里会有什么现象发生？ 答案：沉入江底
汽车在右转弯时，哪一条轮胎不转？ 答案：备用
小王与父母头一次出国旅行，由于语言不通，他的父母显的不知所措，小王也不懂丝毫外语，他也不是聋哑人，却象在自己国家里一样未尝感到丝毫不便这是为什么？ 答案：小王是个婴儿
什么东西经常会来，但却从没真正来过？  答案：明天
你只要叫它的名字就会把它破坏，它是什么？ 答案：沉默
打什么东西，不必花力气？ 答案：打瞌睡
有一个字，人人见了都会念错。这是什么字？ 答案：错字
放大镜不能放大的东西是什么？ 答案：角度) 6829>
什么时候太阳会从西边出来？ 答案：发誓的时候
换心手术失败，医生问快要断气的病人有什么遗言要交代，你猜他会说什么？ 答案：其实你不懂我的心
小明发现房间遭窃,却一点也不紧张,为何?  答案：哪是别人的房间
一个人从五十米高的大厦上跳楼自杀,重重的摔在了地上,为什么没被摔死?  答案：他在半空中就已经被吓死
小王是一名优秀士兵,在站岗值勤时,明明看到有敌人悄悄向他摸过来,为什么他却睁一只眼闭一只眼?  答案：他正在瞄准
青蛙为什么能跳得比树高?  答案：树不会跳
什么时候四减一会等于五?  答案：四个角的东西切去一个角
什么东西愈生气，它便愈大?  答案：脾气
象棋与围棋的区别是什么？ 答案：象棋越下越少，围棋越下越多
一只鸡，一只鹅，放冰箱里，鸡冻死了，鹅却活着，为什么?  答案：是企鹅
医生手术为何带口罩? 答案：怕人认出来
比细菌还小的是什么?  答案：细菌的儿子
当你向别人夸耀你的长处的同时，别人还会知道你的什么?  答案：不是哑巴
IX---这个罗马数字代表9，如何加上一笔，使其变成偶数?  答案：前面加5
文文在洗衣服，但洗了半天，她的衣服还是脏的，为什么?  答案：她在洗别人的衣服
有一个人头戴安全帽,上面绑着一把扇子,左手拿着电风扇,右手拿着水壶,脚穿溜冰鞋,请问他要去哪里?  答案：精神病院
香港生活的人，是不是可以埋葬在广州呢  答案：活人怎么可以埋呢
小明知道试卷的答案，为什么还频频看同学的？ 答案：小明是老师
什么事你明明没有做却要受罚？ 答案：做作业
报纸上登的消息不一定百分之百是真的，但什么消息绝对假不了?  答案：报纸上的，年，月，日
小明对小华说：我可以坐在一个你永远也坐不到的地方！他坐在哪里？  答案：小华的身上
什么官不仅不领工资，还要自掏腰包?  答案：新郎管
有一位老太太上了公车，为什么没人让座？ 答案：车上有空座
什么情况一山可容二虎？ 答案：一公一母
一个可以大可以小的地方是哪里？  答案：厕所
新买的袜子怎么会有一个洞？ 答案：袜口
什么书谁也没见过?  答案：天书
人在什么情况下会七窍生烟? 答案：火葬
有一种东西，买的人知道，卖的人也知道，只有用的人不知道，是什么东西？ 答案：棺材
为什么一瓶标明剧毒的药对人却无害？ 答案：只要你不去喝它
有一根棍子，要使它变短，但不准锯断、折断、削短，还有什么办法？ 答案：找一根比它长的棍子和它比
什么时候四减三会等于五？ 答案：四个角的东西切去一个角
如果明天就是世界末日，为什么今天就有人想自杀？ 答案：去天堂占位子。
黑头发有什么好处？ 答案：不怕晒黑
失意的TOM跳入河中，可他不会游泳，也没有淹死，为什么？ 答案：爱河
哪种竹子不长在土里？ 答案：爆竹 
黑头发有什么好处？ 答案：不必担心被晒黑 
小王与父母头一次出国旅行，由于语言不通，他的父母显得不知所措，小王也不懂外语，却象在自己国家里一样，没有感到丝毫不便，这是为什么？ 答案：他是婴儿 
什么鸡没有翅膀？ 答案：田鸡 
有个人说用牙齿可以判断鸡的年龄，为什么？ 答案：牙可以嚼出肉的老嫩 
什么东西晚上才会长出尾巴？ 答案：流星 
有一种动物，你杀了它却流了你自己的血，这是什么动物？ 答案：蚊子 
什么贵重的东西最容易不翼而飞？  答案：人造卫星 
离婚的主要起因是什么?  答案：结婚
时钟什么时候不会走？ 答案：时钟本来就不会走
被鳄鱼咬和被鲨鱼咬后的感觉有什么不同？ 答案：没人知道
有人说，女人象一本书，那么胖女人象什么书？ 答案：合订本
为什么大部份佛教徒都在北半球？  答案：南无阿弥陀佛
什么人生病从来不看医生？ 答案：瞎子
黑人为什么喜欢吃白色巧克力？ 答案：怕把自己的手咬到
为了怕身材走样，结婚后不生孩子的美女怎么称呼？ 答案：绝代佳人
世界上有什么东西以近2000公里/小时的速度载着人奔驰，而且不必加油或其它燃料？ 答案：地球
今年圣诞夜，圣诞老人第一件放进袜子的是什么东西？ 答案：自己的脚
失意的TOM跳入河中，可他不会游泳，也没有淹死，为什么？ 答案：爱河
袋鼠与猴子比赛跳高。为什么还没开始跳，袋鼠就输了？  答案：袋鼠双脚起跳
为什么一群狼中有一只羊？ 答案：群字中有一个羊字
蜗牛从上海到北京只用了一分钟，为什么？ 答案：地图上
打狗看主人，打虎看什么？ 答案：看你有没有种
在不，仁，王，O，吾的O位置，应当填写东，南，西，北，中的哪个字？  答案：应该是西！因为前几个字中分别有一、二、三、五
老大和老幺之间隔着三兄弟，虽是同年同月同日生，却一点也不相象，为什么？  答案：他们是手指头 
在茫茫大海上漂泊了大半年的海员,一脚踏上大陆后,他接下来最想做什么事情?  答案：踏上另一只脚
茄子的另外一个名字叫什么？ 答案：蔬菜
牛的舌头和尾巴在什么时候遇在一起？ 答案：餐厅里
借什么可以不还  答案：借光
什么时候四减一会等于五?  答案：四个角的东西切去一个角
什么东西愈生气，它便愈大?  答案：脾气
有一样东西，你只能用左手拿它,右手却拿不到,这是什么东西?  答案：右手
亚当和夏娃结婚后最大的遗憾是什么?  答案：没有人来喝喜酒
为什么一瓶标明剧毒的药对人却无害?  答案：只要你不去喝它
一个招牌突然由高处掉落,砸向并排行走的五个人,为什么只有三个人受伤?  答案：因为帮当劳M的招牌
每对夫妻在生活中都有一个绝对的共同点，那是什么?  答案：就是同年同月同日结婚
被鳄鱼咬和被鲨鱼咬后的感觉有什么不同?  答案：没有人知道
为什么彤彤与壮壮第一次见面就一口咬定壮壮是喝羊奶长大的?  答案：状状是一只羊
哪里的佛像最少?  答案：南边，南无阿弥陀佛嘛
至少要多少时间才能读完清华大学?  答案：读清华大学这四个字只要一秒钟就够了
为什么青蛙可以跳得比树高？  答案：因为树根本就不会跳嘛！
为什么人们要到市场上去？ 答案：因为市场不会来
什么东西一百个男人无法举起，一女子却可单手举起？  答案：比如一个鸡蛋，一百个男人不可能同时举起一个鸡蛋
中国古人曾将兰色外衣,浸于黄河中,会产生何种现象?  答案：衣服湿了
为什么相同的物品买一个交60元，买两个交20元？  答案：用百元大钞买四十块钱的东西的找零
爷俩娘俩兄妹俩,一共只有三个人,这是为什么？ 答案：儿子、母亲和舅舅
一个人爱喝酒，又怕老婆，老婆规定进门必须脱鞋，他当圣旨一样记的牢。一天又喝的东摇西摆的回来了，刚到楼梯口突然想起老婆说进门必须要脱鞋的话，急忙把鞋脱下拿在手中，光着脚走到五楼。打开门把鞋晃了晃对老婆说：今天我记得脱鞋了吧。  答案：必须脱鞋
什么字全世界通用？ 答案：阿拉伯数字
什么东西天气越热，它爬的越高？ 答案：温度
什么东西晚上才生出尾巴呢?  答案：流行
牧师无论如何都不能主持的仪式是什么?  答案：自己的葬礼
离婚的主要起因是什么？  答案：结婚
文文在洗衣服，但洗了半天，她的衣服还是脏的，为什么？ 答案：他在洗别人的衣服
什么时候，四减一等于五？ 答案：一个四边形，切下一个角，还有五个角
二三四五六七八九 答案：缺衣少食 
门里站着一个人。 答案：闪 
一点一横长，一撇飘南洋，南洋有个人，只有一寸长。 答案：府 
一个人无法做，一群人做没意思，两个人做刚刚好。请问是啥密事？ 答案：说悄悄话 
会飞不是鸟，像鼠不是鼠。白天躲暗处，夜晚捉害虫。 答案：蝙蝠 
小时四只脚，中午两只脚，傍晚三只脚。 答案：婴儿,青少年,老人. 
上边毛，下边毛，中间一个黑葡萄。 答案：眼睛 
“蚕蚁”是蚂蚁还是蚕？ 答案：蚕 
三面墙一面空小孩子在当中 答案：匹 
老詹养了一只狗，并且从來不帮狗洗澡，为什么狗不会生跳蚤呢？ 答案：因为狗只会生小狗 
两只蚂蚁抬根杠,一只蚂蚁杠上望 答案：六 
为什么两个孩子恰恰好？ 答案：因为不孝有三 
为什么婴儿一出生就大哭？ 答案：因为他看到护士阿姨太漂亮.自己又太...小 
像糖不是糖，不能用口尝，帮你改错字，纸上来回忙。 答案：橡皮 
有对一模一样的双胞胎兄弟，哥哥的屁股有黑痣，而弟弟没有。但即使这对双胞胎穿着相同的服饰，仍然有人可立刻知道谁是哥哥，谁是弟弟。究竟是谁呢？ 答案：他们自己 
有一位刻字先生，他挂出来的价格表是这样写的：刻“隶书”4角；刻“仿宋体”6角刻“你的名章”8角；刻“你爱人的名章”12元。那么他刻字的单价是多少？ 答案：每个字两角 
一个人有三根头发，为什么他还要剪掉一根？ 答案：他想做三毛的哥哥 
华先生有个本领，那就是能让见到他的人，都会自动手心朝上。这是怎么回事？ 答案：他是个中医 
老人梅友并到医院去做检查，结果医生告诉他说要看开一点，请问他得了什么病？ 答案：豆鸡眼 
杏子从52楼跳下，为什么没事？ 答案：她是只鸟 
两位帅哥因何为了一位长相如恐龙般的女子大打出手？ 答案：打的要娶她. 
年年有余，为什么钱还是存不起來？ 答案：因为年年都被炒鱿鱼 
五个兄弟，住在一起，名字不同，高矮不其。 答案：手指 
医生给了你三颗药丸要你每半个小时吃一颗请问吃完需要多长时间 答案：一个小时 
干涉 答案：步 
无聊的时候，开车游车河时，叫做什么？ 答案：白花油 
劳资争议时，雇主应该穿什么？ 答案：防弹背心 
灰姑娘的老爸老妈可能是谁？ 答案：白雪公主与包公 
在路上，它翻了一个跟斗，接着又翻了一次（猜4字成语） 答案：三翻两次 
用猪肝和熊胆作成的神奇肥皂（猜4字成语） 答案：肝胆相照(香皂) 
为什么大家喜欢看漫画？ 答案：无聊 
一个男人加一个女人会成了什么？ 答案：两个人 
两个女人与一千只鸭子所说的话有何相似性呢？ 答案：无稽(鸡)之谈 
为什么DrJ做完10下伏地挺身后，地上多了个凹洞？ 答案：因为他单手做伏地挺身 
为什么大家都喜欢坐着看电影？ 答案：因为站着看脚会酸 
什么书买不到？ 答案：遗书 
什么鼠最爱干净？ 答案：环保署 
阿匹婆的英文名字是？ 答案：A-people 
右手永远抓不到什么？ 答案：右手 
参加联考时，除了准考证之外，最重要的是什么？ 答案：记得起床 
小马哥的老爸在市立图书馆（四字成语） 答案：识途老马(市图老马) 
哞哞叫的牛一下水游泳后就不叫了（四字成语） 答案：有勇无谋(哞) 
小麦的两包面都被偷了（四字成语） 答案：面面俱到(盗) 
这封信是两颗蛋做的（四字成语） 答案：信誓旦旦(蛋蛋) 
这冰看起来就好像是张铝箔（四字成语） 答案：如履(铝)薄冰. 
一头被10公尺绳子栓住的老虎，要如何吃到20公尺外的草？ 答案：老虎...不吃草 
这个东西，左看像电灯，右看也像电灯，和电灯没什么两样。但它就是不会亮，這是啥东西呢？ 答案：坏掉的电灯 
天知地知我知（打福建一市县名） 答案：三明 
长安一片月（打一字） 答案：胀 
人在不饥渴时也需要的是什么水？ 答案：薪水 
海水为什么是咸的？ 答案：鱼流的泪太多了 
为什么阿福总要等老师动手才去听老师的话？ 答案：他是个聋子 
钻进钱眼里的人最终会怎样？ 答案：最终会死 
老王已经年过半百为什么总爱围着女人转？ 答案：老王是推销化妆品的 
用什么方法可以使人不喝水？ 答案：把水改名字 
一斤白菜5角钱，一斤萝卜6角钱，那一斤排骨多少钱？ 答案：一两等于十钱一斤100钱 
有一名女囚犯，被抓到警察局，并被单独关到了一间防守非常好的小囚室里，在没有可能外人进入的情况下，第二天早晨，囚室里居然多出了一名男士！这是为什么？ 答案：这是一名怀了孕的女犯生下一名男婴 
阿珍什么家务都不会做，脾气又坏，他爸妈为什么还拼命催她结婚？ 答案：其目的是为了嫁祸于人. 
一间屋子里到处都在漏雨，可是谁也没被淋湿，为什么？ 答案：空房子 
什么人可以饭来张口，衣来伸手？ 答案：婴儿 
脱了红袍子,是个白胖子去了白胖子,是个黑圆子。打一植物？ 答案：荔枝 
一辆出租车在公路上正常行驶，并且没有违反任何交通规则却被一个警察给拦住了，请问为什么 答案：警察打车 
有一个网站，凡是上网的人没有不先去那里的(wwwhang123com)为什么 答案：任何人都能够各需所爱. 
鸭蛋一打有多少个？ 答案：全没有了碎了 
后脑勺受伤的人怎样睡觉？ 答案：闭着眼睛睡觉 
人死后为什么变得冰凉？ 答案：心静自然凉 
现代人为什么越来越喜欢挖耳朵？ 答案：爱讲脏话的人越来越多了 
友情和爱情怎样区分？ 答案：友情出现在白天爱情出现在晚上 
吃不到葡萄，也不说葡萄酸，为什么？ 答案：理解 
十万个为什么是什么？ 答案：想问什么就问什么 
什么时候我们会甘心熄灭自己的生命之火？ 答案：切生日蛋糕之前 
三名犯人聆听法官宣判，法官说左右两个无罪，究竟为什么？ 答案：关中 
中国人讲什么话？ 答案：中国话 
地球有两处地方，昨天可以是今天，今天可以是明天，那地方是哪？ 答案：南极和北极 
小凯开着车子，却始终到不目的地，为什么？ 答案：车子倒着走 
芳芳吃牛肉面，却不见任何牛肉？ 答案：她吃的是牛肉泡面 
大明的英语呱呱叫，可是老外，都听不懂他讲的？ 答案：头撞到水中的乌龟 
陆先生刚理发完，便要求理发师降他的头发“中分”理发师说做不到，为什么？ 答案：他的头发是奇数 
圣　诞　夜，　圣　诞　老　公　公　放　进　袜　子　的　第　一　件　东　西　是　什　么　？ 答案：脚 
什么地方盖了章才过得去？ 答案：印度 
苹果树上有二十个熟透的苹果，被风吹落了一　半，后又被果农摘了一半，那么树上还有几个苹果？ 答案：5 
从一写到一万，你会用多少时间？ 答案：最多5秒,10000 
为　什　么　拿　破　仑　的　字　典　里　没　有　一个“难”字　？ 答案：他的字典是法文 
和尚打着一把伞，是一个什么成语？ 答案：无发无天 
什么花可以看而不可以把握？ 答案：水花和烟花 
哪种火车车厢最少？ 答案：救火车 
什么人是人们说时很崇拜，但却不想见到 答案：上帝 
胖妞生病了，最怕别人来探病时说什么？ 答案：多多保重 
中国人最早的姓氏是什么 答案：姓善"人之初,性本善." 
一只健壮的鸭子为什么在小河中溺死了？ 答案：想不开自杀了 
从前，遍地是金的山是什么山？ 答案：旧金山 
铁放到外面要生锈，那金子呢 答案：没了 
农夫养了10头牛，为什么只有19只角？ 答案：其中一只是犀牛 
小明的爸爸只当了一次官，而且只当了几天。可是因为当了那次官，闹得他每天都要掏腰包，他当的是什么官 答案：新郎官 
什么时候最好还是要高高举起你的双手好些 答案：当人用手枪指着你的头的时候 
小明家住在五楼，可是电梯坏了，他自己也没有走楼梯，他却上了五楼回到家里，这可能吗 答案：妈妈背着他上楼 
一个苹果减去一个苹果，猜一个字。 答案：0 
三个金“鑫”，三个水叫“淼”，三个人叫“众”，那么三个鬼应该叫什么 答案：救命 
哪儿的海不产鱼 答案：辞海 
